time_utc,Bx,By,Bz,Babs
2022-03-02T12:29:45.435028167Z,-1.777746,0.6588167,1.137124,2.210763
2022-03-02T12:29:45.497529042Z,-1.65968,0.5932203,1.108912,2.082339
2022-03-02T12:29:45.560029917Z,-1.528491,0.5483009,1.065891,1.942432
2022-03-02T12:29:45.622530792Z,-1.491725,0.4959727,1.026891,1.877695
2022-03-02T12:29:45.685031667Z,-1.545985,0.5133638,1.108762,1.970524
2022-03-02T12:29:45.747532542Z,-1.627941,0.4513667,1.194095,2.068764
2022-03-02T12:29:45.810033417Z,-1.667862,0.3735351,1.242482,2.113068
2022-03-02T12:29:45.872534292Z,-1.695857,0.3046714,1.256949,2.132763
2022-03-02T12:29:45.935035167Z,-1.628307,0.1291717,1.25798,2.061694
2022-03-02T12:29:45.997536042Z,-1.620754,0.1015604,1.34687,2.109791
2022-03-02T12:29:46.060036917Z,-1.689842,0.01984464,1.394211,2.190841
2022-03-02T12:29:46.122537792Z,-1.693062,-0.1622208,1.324433,2.155667
2022-03-02T12:29:46.185038667Z,-1.682825,-0.2181441,1.334654,2.158886
2022-03-02T12:29:46.247539542Z,-1.675349,-0.2518946,1.33907,2.15948
2022-03-02T12:29:46.310040417Z,-1.530407,-0.4307514,1.226875,2.008211
2022-03-02T12:29:46.372541292Z,-1.40851,-0.4845752,1.202957,1.914633
2022-03-02T12:29:46.435042167Z,-1.33066,-0.4435395,1.256435,1.883086
2022-03-02T12:29:46.497543042Z,-1.220363,-0.4516096,1.27561,1.822201
2022-03-02T12:29:46.560043917Z,-1.102636,-0.4456943,1.218857,1.702957
2022-03-02T12:29:46.622544792Z,-1.063101,-0.3944472,1.239514,1.679931
2022-03-02T12:29:46.685045667Z,-1.053345,-0.3192685,1.327438,1.724401
2022-03-02T12:29:46.747546542Z,-0.9956372,-0.210013,1.348904,1.689657
2022-03-02T12:29:46.810047417Z,-0.9366614,-0.006090412,1.324916,1.622583
2022-03-02T12:29:46.872548292Z,-0.954919,0.311933,1.371006,1.699656
2022-03-02T12:29:46.935049167Z,-1.090022,0.7105616,1.498618,1.984666
2022-03-02T12:29:46.997550042Z,-1.279531,0.9280921,1.565182,2.224488
2022-03-02T12:29:47.060050917Z,-1.390479,0.8588511,1.516402,2.229469
2022-03-02T12:29:47.122551792Z,-1.440562,0.6299294,1.348368,2.071262
2022-03-02T12:29:47.185052667Z,-1.423322,0.5615424,1.165915,1.923677
2022-03-02T12:29:47.247553542Z,-1.381513,0.6214905,0.9314088,1.7783
2022-03-02T12:29:47.310054417Z,-1.434391,0.6107157,0.8729341,1.786747
2022-03-02T12:29:47.372555292Z,-1.414931,0.6557571,0.8199443,1.761918
2022-03-02T12:29:47.435056167Z,-1.279778,0.7410161,0.6551101,1.617438
2022-03-02T12:29:47.497557042Z,-1.109448,0.9190611,0.551283,1.54255
2022-03-02T12:29:47.560057917Z,-0.9593381,1.209442,0.4674537,1.612945
2022-03-02T12:29:47.622558792Z,-0.8099746,1.5945,0.4235598,1.837904
2022-03-02T12:29:47.685059667Z,-0.6929351,2.045026,0.5060858,2.217749
2022-03-02T12:29:47.747560542Z,-0.6863511,2.597798,0.6692337,2.769027
2022-03-02T12:29:47.810061417Z,-0.784313,3.095998,0.8950123,3.316835
2022-03-02T12:29:47.872562292Z,-0.9475984,3.54847,1.121644,3.84027
2022-03-02T12:29:47.935063167Z,-1.164186,3.893981,1.501609,4.33281
2022-03-02T12:29:47.997564042Z,-1.250487,3.982526,1.819392,4.553506
2022-03-02T12:29:48.060064917Z,-1.195211,3.893061,1.95746,4.518418
2022-03-02T12:29:48.122565792Z,-1.169063,3.735699,2.04429,4.416025
2022-03-02T12:29:48.185066667Z,-1.025654,3.582664,1.955234,4.208371
2022-03-02T12:29:48.247567542Z,-1.003336,3.523102,1.905128,4.128976
2022-03-02T12:29:48.310068417Z,-1.117807,3.556502,1.998408,4.229874
2022-03-02T12:29:48.372569292Z,-1.006209,3.530704,1.852416,4.112149
2022-03-02T12:29:48.435070167Z,-0.8400376,3.766607,1.819651,4.266629
2022-03-02T12:29:48.497571042Z,-0.8342031,4.153304,1.82853,4.614038
2022-03-02T12:29:48.560071917Z,-0.9567098,4.484745,1.930533,4.975459
2022-03-02T12:29:48.622572792Z,-1.263129,4.637999,2.02887,5.217551
2022-03-02T12:29:48.685073667Z,-1.515544,4.653395,2.075477,5.315878
2022-03-02T12:29:48.747574542Z,-1.62967,4.657465,2.023648,5.333193
2022-03-02T12:29:48.810075417Z,-1.944876,5.020483,1.967871,5.732392
2022-03-02T12:29:48.872576292Z,-2.337937,5.199204,1.964703,6.029737
2022-03-02T12:29:48.935077167Z,-2.591683,5.331575,1.762659,6.184617
2022-03-02T12:29:48.997578042Z,-2.898213,5.364028,1.517803,6.283006
2022-03-02T12:29:49.060078917Z,-3.117529,5.421614,1.213481,6.370668
2022-03-02T12:29:49.122579792Z,-3.206706,5.443913,1.266289,6.443807
2022-03-02T12:29:49.185080667Z,-3.365517,5.557673,1.228729,6.612428
2022-03-02T12:29:49.247581542Z,-3.711686,5.409914,1.234327,6.675878
2022-03-02T12:29:49.310082417Z,-3.83322,5.368522,1.246928,6.713377
2022-03-02T12:29:49.372583292Z,-4.049632,5.241669,1.087182,6.71242
2022-03-02T12:29:49.435084167Z,-4.224549,5.048471,0.8521563,6.637774
